[[3, 0, 15], [0, 0, 1, 0], 3]
[[3, 1, 15], [1, 0, 1, 0], 4]
[[3, 2, 15], [0, 1, 1, 0], 5]
[[3, 3, 15], [1, 1, 1, 0], 6]
[[4, 0, 15], [1, 0, 1, 0], 4]
[[4, 1, 15], [0, 1, 1, 0], 5]
[[4, 2, 15], [1, 1, 1, 0], 6]
[[5, 0, 15], [0, 1, 1, 0], 5]
[[5, 1, 15], [1, 1, 1, 0], 6]
[[6, 0, 15], [1, 1, 1, 0], 6]
[[9, 14, 15], [1, 1, 1, 0], 8]
[[10, 13, 15], [1, 1, 1, 0], 8]
[[10, 14, 15], [0, 0, 0, 1], 9]
[[11, 12, 15], [1, 1, 1, 0], 8]
[[11, 13, 15], [0, 0, 0, 1], 9]
[[11, 14, 15], [1, 0, 0, 1], 10]
[[12, 11, 15], [1, 1, 1, 0], 8]
[[12, 12, 15], [0, 0, 0, 1], 9]
[[12, 13, 15], [1, 0, 0, 1], 10]
[[12, 14, 15], [0, 1, 0, 1], 11]
[[13, 10, 15], [1, 1, 1, 0], 8]
[[13, 11, 15], [0, 0, 0, 1], 9]
[[13, 12, 15], [1, 0, 0, 1], 10]
[[13, 13, 15], [0, 1, 0, 1], 11]
[[13, 14, 15], [1, 1, 0, 1], 12]
[[14, 9, 15], [1, 1, 1, 0], 8]
[[14, 10, 15], [0, 0, 0, 1], 9]
[[14, 11, 15], [1, 0, 0, 1], 10]
[[14, 12, 15], [0, 1, 0, 1], 11]
[[14, 13, 15], [1, 1, 0, 1], 12]
[[14, 14, 15], [0, 0, 1, 1], 13]

