cMultModN : Results for N = 4

[[3, 0, 4, 3], 13, 1]
[[3, 0, 4, 4], 12, 0]
[[3, 0, 4, 5], 15, 3]
[[3, 0, 4, 6], 14, 2]
[[3, 1, 4, 4], 13, 1]
[[3, 1, 4, 5], 12, 0]
[[3, 1, 4, 6], 15, 3]
[[3, 1, 4, 7], 14, 2]
[[3, 2, 4, 2], 12, 0]
[[3, 2, 4, 4], 14, 2]
[[3, 2, 4, 5], 13, 1]
[[3, 2, 4, 7], 15, 3]
[[3, 3, 4, 2], 13, 1]
[[3, 3, 4, 3], 12, 0]
[[3, 3, 4, 4], 15, 3]
[[3, 3, 4, 5], 14, 2]
